no_below,no_above,idf,bool,norm,C,score
20,0.5,False,False,None,0.001,0.806086519115
20,0.5,False,False,None,0.01,0.78274254928
20,0.5,False,False,None,0.1,0.76186337563
20,0.5,False,False,None,1.0,0.736955545577
20,0.5,False,False,None,10.0,0.728924418605
20,0.5,False,False,l2,0.001,0.770857022531
20,0.5,False,False,l2,0.01,0.786541005291
20,0.5,False,False,l2,0.1,0.809735973597
20,0.5,False,False,l2,1.0,0.808360635342
20,0.5,False,False,l2,10.0,0.792399366614
20,0.5,False,True,None,0.001,0.813198823035
20,0.5,False,True,None,0.01,0.797148521534
20,0.5,False,True,None,0.1,0.773176893761
20,0.5,False,True,None,1.0,0.75852719958
20,0.5,False,True,None,10.0,0.75229519774
20,0.7,True,False,None,0.001,0.806822852446
20,0.7,True,False,None,0.01,0.797162418543
20,0.7,True,False,None,0.1,0.791267173038
20,0.7,True,False,None,1.0,0.789386125437
20,0.7,True,False,None,10.0,0.789151865563
20,0.7,True,False,l2,0.001,0.78796941086
20,0.7,True,False,l2,0.01,0.803372200319
20,0.7,True,False,l2,0.1,0.828034442789
20,0.7,True,False,l2,1.0,0.82211005786
20,0.7,True,False,l2,10.0,0.801316601522
20,0.7,False,False,None,0.001,0.809861505089
20,0.7,False,False,None,0.01,0.788461538462
20,0.7,False,False,None,0.1,0.772601555748
20,0.7,False,False,None,1.0,0.754425662186
20,0.7,False,False,None,10.0,0.74815576519
20,0.7,False,False,l2,0.001,0.756021390374
20,0.7,False,False,l2,0.01,0.77865135821
20,0.7,False,False,l2,0.1,0.809025912303
20,0.7,False,False,l2,1.0,0.810511410961
20,0.7,False,False,l2,10.0,0.798281829935
20,0.7,False,True,None,0.001,0.813248707494
20,0.7,False,True,None,0.01,0.801588960903
20,0.7,False,True,None,0.1,0.781761991448
20,0.7,False,True,None,1.0,0.7684192321
20,0.7,False,True,None,10.0,0.763957843393
