no_below,no_above,idf,bool,norm,C,score
5,0.7,False,False,None,0.01,0.786158931868
5,0.7,False,False,None,0.1,0.767202741893
5,0.7,False,False,None,1.0,0.755547617985
5,0.7,False,False,None,10.0,0.753010699736
5,0.7,False,False,l2,0.001,0.741247900788
5,0.7,False,False,l2,0.01,0.764330679118
5,0.7,False,False,l2,0.1,0.796179923929
5,0.7,False,False,l2,1.0,0.805486076372
5,0.7,False,False,l2,10.0,0.795628138583
5,0.7,False,True,None,0.001,0.807537240589
5,0.7,False,True,None,0.01,0.799156474062
5,0.7,False,True,None,0.1,0.786995898838
5,0.7,False,True,None,1.0,0.779500021588
5,0.7,False,True,None,10.0,0.777739281074
10,0.1,True,False,None,0.001,0.761174755259
10,0.1,True,False,None,0.01,0.753458436076
10,0.1,True,False,None,0.1,0.75194511838
10,0.1,True,False,None,1.0,0.751831233519
10,0.1,True,False,None,10.0,0.751831233519
10,0.1,True,False,l2,0.001,0.764968498352
10,0.1,True,False,l2,0.01,0.76315678591
10,0.1,True,False,l2,0.1,0.776209424084
10,0.1,True,False,l2,1.0,0.773168505766
10,0.1,True,False,l2,10.0,0.759911985718
10,0.1,False,False,None,0.001,0.737653208363
10,0.1,False,False,None,0.01,0.728593203622
10,0.1,False,False,None,0.1,0.715835922374
10,0.1,False,False,None,1.0,0.701879871619
10,0.1,False,False,None,10.0,0.698336635488
10,0.1,False,False,l2,0.001,0.765511482255
10,0.1,False,False,l2,0.01,0.764614283911
10,0.1,False,False,l2,0.1,0.778671780548
10,0.1,False,False,l2,1.0,0.777157968679
10,0.1,False,False,l2,10.0,0.761652673808
10,0.1,False,True,None,0.001,0.759010412032
10,0.1,False,True,None,0.01,0.752097702412
10,0.1,False,True,None,0.1,0.738198935375
10,0.1,False,True,None,1.0,0.726841917024
10,0.1,False,True,None,10.0,0.724326750449
10,0.3,True,False,None,0.001,0.782813816344
10,0.3,True,False,None,0.01,0.775738093224
10,0.3,True,False,None,0.1,0.774291883653
10,0.3,True,False,None,1.0,0.774163490047
10,0.3,True,False,None,10.0,0.774215408073
10,0.3,True,False,l2,0.001,0.773592999314
10,0.3,True,False,l2,0.01,0.778219090327
10,0.3,True,False,l2,0.1,0.79742219961
10,0.3,True,False,l2,1.0,0.795481369078
10,0.3,True,False,l2,10.0,0.779503236999
10,0.3,False,False,None,0.001,0.770456446146
10,0.3,False,False,None,0.01,0.749108416548
10,0.3,False,False,None,0.1,0.730727371667
10,0.3,False,False,None,1.0,0.711990340856
10,0.3,False,False,None,10.0,0.708018295529
10,0.3,False,False,l2,0.001,0.744817975962
10,0.3,False,False,l2,0.01,0.756428479132
10,0.3,False,False,l2,0.1,0.781498248911
10,0.3,False,False,l2,1.0,0.784850034083
10,0.3,False,False,l2,10.0,0.766580534022
10,0.3,False,True,None,0.001,0.787870889265
10,0.3,False,True,None,0.01,0.771345309034
10,0.3,False,True,None,0.1,0.757358440759
10,0.3,False,True,None,1.0,0.74480725421
10,0.3,False,True,None,10.0,0.742401147673
10,0.5,True,False,None,0.001,0.803531459836
10,0.5,True,False,None,0.01,0.797640314071
10,0.5,True,False,None,0.1,0.796791888298
10,0.5,True,False,None,1.0,0.796941235143
10,0.5,True,False,None,10.0,0.796858116532
10,0.5,True,False,l2,0.001,0.789647577093
10,0.5,True,False,l2,0.01,0.800919156048
10,0.5,True,False,l2,0.1,0.819072122168
10,0.5,True,False,l2,1.0,0.815291383032
10,0.5,True,False,l2,10.0,-1
10,0.5,False,False,None,0.001,0.795967435778
10,0.5,False,False,None,0.01,0.775692427723
10,0.5,False,False,None,0.1,0.760527360113
10,0.5,False,False,None,1.0,0.750122905028
10,0.5,False,False,None,10.0,0.748409640713
10,0.5,False,False,l2,0.001,0.762140193573
10,0.5,False,False,l2,0.01,0.777307992283
10,0.5,False,False,l2,0.1,0.800230140139
10,0.5,False,False,l2,1.0,0.800401119793
10,0.5,False,False,l2,10.0,0.786996274975
10,0.5,False,True,None,0.001,0.810152198659
10,0.5,False,True,None,0.01,0.795778229908
10,0.5,False,True,None,0.1,0.780024904461
10,0.5,False,True,None,1.0,0.772257448102
10,0.5,False,True,None,10.0,0.770997346788
10,0.7,True,False,None,0.001,0.808445456427
10,0.7,True,False,None,0.01,0.803752282915
10,0.7,True,False,None,0.1,0.801978551833
10,0.7,True,False,None,1.0,0.801512758707
10,0.7,True,False,None,10.0,0.801546070404
10,0.7,True,False,l2,0.001,0.786383269897
10,0.7,True,False,l2,0.01,0.800771747337
10,0.7,True,False,l2,0.1,0.821307990496
10,0.7,True,False,l2,1.0,0.818491161092
10,0.7,True,False,l2,10.0,0.806229958772
10,0.7,False,False,None,0.001,0.802653121196
10,0.7,False,False,None,0.01,0.784335640287
10,0.7,False,False,None,0.1,0.765681200105
10,0.7,False,False,None,1.0,0.75590341086
10,0.7,False,False,None,10.0,0.753725350228
10,0.7,False,False,l2,0.001,0.740759930915
10,0.7,False,False,l2,0.01,0.763339610797
10,0.7,False,False,l2,0.1,0.796320086196
10,0.7,False,False,l2,1.0,0.804343286699
10,0.7,False,False,l2,10.0,0.793693731772
10,0.7,False,True,None,0.001,0.80773799423
10,0.7,False,True,None,0.01,0.800539197102
10,0.7,False,True,None,0.1,0.786377972892
10,0.7,False,True,None,1.0,0.779310344828
10,0.7,False,True,None,10.0,0.777955340561
20,0.1,True,False,None,0.001,0.752808988764
20,0.1,True,False,None,0.01,0.736686265386
20,0.1,True,False,None,0.1,0.72975859859
20,0.1,True,False,None,1.0,0.727405060581
20,0.1,True,False,None,10.0,0.727405122933
20,0.1,True,False,l2,0.001,0.764916965701
20,0.1,True,False,l2,0.01,0.76490372488
20,0.1,True,False,l2,0.1,0.779050464807
20,0.1,True,False,l2,1.0,0.774631656926
20,0.1,True,False,l2,10.0,0.754177986334
20,0.1,False,False,None,0.001,0.731996559996
20,0.1,False,False,None,0.01,0.719669826296
20,0.1,False,False,None,0.1,0.701856570805
20,0.1,False,False,None,1.0,0.673768559981
20,0.1,False,False,None,10.0,0.658420825543
20,0.1,False,False,l2,0.001,0.763683571339
20,0.1,False,False,l2,0.01,0.763216647711
20,0.1,False,False,l2,0.1,0.778931627482
20,0.1,False,False,l2,1.0,0.774238683128
20,0.1,False,False,l2,10.0,0.753948841259
20,0.1,False,True,None,0.001,0.75622997508
20,0.1,False,True,None,0.01,0.746141330636
20,0.1,False,True,None,0.1,0.721553294531
20,0.1,False,True,None,1.0,0.700545296247
20,0.1,False,True,None,10.0,0.688962277315
20,0.3,True,False,None,0.001,0.777815267819
20,0.3,True,False,None,0.01,0.768440709617
20,0.3,True,False,None,0.1,0.760931823039
20,0.3,True,False,None,1.0,0.758401920439
20,0.3,True,False,None,10.0,0.758401920439
20,0.3,True,False,l2,0.001,0.771546533632
20,0.3,True,False,l2,0.01,0.7776352911
20,0.3,True,False,l2,0.1,0.801448604034
20,0.3,True,False,l2,1.0,0.7967831993
20,0.3,True,False,l2,10.0,0.775859896686
20,0.3,False,False,None,0.001,0.7664162616
20,0.3,False,False,None,0.01,0.746092703403
20,0.3,False,False,None,0.1,0.726547268193
20,0.3,False,False,None,1.0,0.69238780534
20,0.3,False,False,None,10.0,0.679884781565
20,0.3,False,False,l2,0.001,0.741772151899
